time,signal,
0.319519519,-0.133157748,160
0.320628962,-0.099689668,160
0.321738405,-0.066221587,160
0.322847848,-0.045664493,160
0.323957291,-0.03509189,160
0.325066733,-0.021369617,160
0.326176176,0.041566317,160
0.327285619,0.104502251,160
0.328395062,0.180274235,160
0.329504504,0.266280379,160
0.330613947,0.357834923,160
0.33172339,0.549261622,160
0.332832833,0.740688321,160
0.333942276,0.858338687,160
0.335051718,0.915351023,160
0.336161161,0.974995082,160
0.337270604,1.090343919,160
0.338380047,1.205692755,160
0.339489489,1.303740381,160
0.340598932,1.387130024,160
0.341708375,1.472331741,160
0.342817818,1.60392305,160
0.34392726,1.735514359,160
0.345036703,1.780424833,160
0.346146146,1.749642276,160
0.347255589,1.718821941,160
0.348365032,1.686783248,160
0.349474474,1.654744555,160
0.350583917,1.589131566,160
0.35169336,1.4933017,160
0.352802803,1.395221012,160
0.353912245,1.199603383,160
0.355021688,1.003985755,160
0.356131131,0.851709217,160
0.357240574,0.739633192,160
0.358350017,0.627000894,160
0.359459459,0.477933171,160
0.360568902,0.328865447,160
0.361678345,0.208473105,160
0.362787788,0.115491053,160
0.36389723,0.022385672,160
0.365006673,-0.086999666,160
0.366116116,-0.196385003,160
0.367225559,-0.238646138,160
0.368335002,-0.214784819,160
0.369444444,-0.190923498,160
0.370553887,-0.156995519,160
0.37166333,-0.123067541,160
0.372772773,-0.078963253,160
0.373882215,-0.024528474,160
0.374991658,0.029906304,160
0.376101101,0.014638572,160
0.377210544,-0.001157217,160
0.378319987,-0.044387204,160
0.379429429,-0.116317619,160
0.380538872,-0.188248033,160
0.381648315,-0.110917218,160
0.382757758,-0.031307527,160
0.3838672,-0.015342146,160
0.384976643,-0.06799323,160
0.386086086,-0.120644314,160
0.387195529,-0.134172367,160
0.388304972,-0.14679758,160
0.389414414,-0.094223217,160
0.390523857,0.03079518,160
0.3916333,0.155813577,160
0.392742743,0.096690388,160
0.393852185,0.031857303,160
0.394961628,-0.074890268,160
0.396071071,-0.229636631,160
0.397180514,-0.384382993,160
0.398289957,-0.270524177,160
0.399399399,-0.146172998,160
0.400508842,-0.108792546,160
0.401618285,-0.174066111,160
0.402727728,-0.239339676,160
0.40383717,-0.245454869,160
0.404946613,-0.248775159,160
0.406056056,-0.236240819,160
0.407165499,-0.204416637,160
0.408274941,-0.172592455,160
0.409384384,-0.1712636,160
0.410493827,-0.171628923,160
0.41160327,-0.199293051,160
0.412712713,-0.261196358,160
0.413822155,-0.323099665,160
0.414931598,-0.257803294,160
0.416041041,-0.184366113,160
0.417150484,-0.14996629,160
0.418259926,-0.166045894,160
0.419369369,-0.182125499,160
0.420478812,-0.196470913,160
0.421588255,-0.210690459,160
0.422697698,-0.223788647,160
0.42380714,-0.235391693,160
0.424916583,-0.246994739,160
0.426026026,-0.192755273,160
0.427135469,-0.133162748,160
0.428244911,-0.093168323,160
0.429354354,-0.08012132,160
0.430463797,-0.067074316,160
0.43157324,-0.07660397,160
0.432682683,-0.088169238,160
0.433792125,-0.123552143,160
0.434901568,-0.192712762,160
0.436011011,-0.261873382,160
0.437120454,-0.225898408,160
0.438229896,-0.179496761,160
0.439339339,-0.17089632,160
0.440448782,-0.217597691,160
0.441558225,-0.264299063,160
0.442667668,-0.167724067,160
0.44377711,-0.055627391,160
0.444886553,-0.026078252,160
0.445995996,-0.121129022,160
0.447105439,-0.216179792,160
0.448214881,-0.219380737,160
0.449324324,-0.211775829,160
0.450433767,-0.205871025,160
0.45154321,-0.202614459,160
0.452652653,-0.199357894,160
0.453762095,-0.191535985,160
0.454871538,-0.183133734,160
0.455980981,-0.173518117,160
0.457090424,-0.161951593,160
0.458199866,-0.150385069,160
0.459309309,-0.142539966,160
0.460418752,-0.135203774,160
0.461528195,-0.125401586,160
0.462637637,-0.111505843,160
0.46374708,-0.0976101,160
0.464856523,-0.138593311,160
0.465965966,-0.187619144,160
0.467075409,-0.223258294,160
0.468184851,-0.235948804,160
0.469294294,-0.248639313,160
0.470403737,-0.189395207,160
0.47151318,-0.118891796,160
0.472622622,-0.073446415,160
0.473732065,-0.072374615,160
0.474841508,-0.071302814,160
0.475950951,-0.125253025,160
0.477060394,-0.18837358,160
0.478169836,-0.205030094,160
0.479279279,-0.136667176,160
0.480388722,-0.068304257,160
0.481498165,-0.103964345,160
0.482607607,-0.158035661,160
0.48371705,-0.162034235,160
0.484826493,-0.071330087,160
0.485935936,0.019374061,160
0.487045379,-0.051882017,160
0.488154821,-0.153505645,160
0.489264264,-0.201348965,160
0.490373707,-0.144021798,160
0.49148315,-0.086694631,160
0.492592592,-0.02907596,160
0.493702035,0.028600486,160
0.494811478,0.073356873,160
0.495920921,0.091979534,160
0.497030364,0.110602194,160
0.498139806,0.012724093,160
0.499249249,-0.109513248,160
0.500358692,-0.188184161,160
0.501468135,-0.175669472,160
0.502577577,-0.163154782,160
0.50368702,-0.144663325,160
0.504796463,-0.124855879,160
0.505905906,-0.116747012,160
0.507015349,-0.133985129,160
0.508124791,-0.151223246,160
0.509234234,-0.161739833,160
0.510343677,-0.170700512,160
0.51145312,-0.181625196,160
0.512562562,-0.196956914,160
0.513672005,-0.212288633,160
0.514781448,-0.18641313,160
0.515890891,-0.150524641,160
0.517000334,-0.136687568,160
0.518109776,-0.174120143,160
